Unnamed: 0,CSD_code,q,charge,S,mult,MND,nn,oxo_charge,oxo_mult
16708,FAKMUA,q,0,S,0,MND,5,,
16709,FAKPAI,q,0,S,0,MND,5,,
16710,FAKPAK,q,0,S,0,MND,4,,
16711,FAKPIR,q,0,S,0,MND,6,,
16712,FAKVIW,q,0,S,0,MND,4,,
16713,FAKWEW,q,0,S,0,MND,5,,
16714,FAKWOE,q,0,S,0,MND,4,,
16715,FAKWUK,q,0,S,0,MND,4,,
16716,FAKXAT,q,0,S,0,MND,5,,
16717,FAKXEX,q,0,S,0,MND,4,,
16718,FAKYEY,q,1,S,0,MND,4,,
16719,FAKZAU,q,0,S,0,MND,9,,
16720,FAKZEW,q,0,S,0,MND,8,,
16721,FALDEE,q,0,S,0,MND,6,,
16722,FALDII,q,0,S,0,MND,6,,
16723,FALDUR,q,0,S,0,MND,6,,
16724,FALFAA,q,0,S,0,MND,6,,
16725,FALFOP,q,0,S,0,MND,4,,
16726,FALFUV,q,0,S,0,MND,4,,
16727,FALGEE,q,0,S,0,MND,7,,
16728,FALJAD,q,0,S,0,MND,4,,
16729,FALJEH,q,0,S,0,MND,4,,
16730,FALJIL,q,0,S,0,MND,4,,
16731,FALJOR,q,1,S,0,MND,6,,
16732,FALKOU,q,0,S,0,MND,4,,
16733,FALRUI,q,0,S,0,MND,4,,
16734,FALSUJ,q,0,S,0,MND,8,,
16735,FALTAQ,q,0,S,0,MND,8,,
16736,FALZAV,q,0,S,0,MND,8,,
16737,FALZUP,q,0,S,0,MND,8,,
16738,FAMCUS,q,0,S,0,MND,4,,
16739,FAMDAZ,q,0,S,0,MND,4,,
16740,FAMDED,q,0,S,0,MND,4,,
16741,FAMDIH,q,0,S,0,MND,4,,
16742,FAMFOP,q,0,S,0,MND,6,,
16743,FAMFUV,q,0,S,0,MND,5,,
16744,FAMGAC,q,0,S,0,MND,6,,
16745,FAMGEG,q,0,S,0,MND,6,,
16746,FAMHEH,q,0,S,0,MND,4,,
16747,FAMHUZ,q,0,S,0,MND,6,,
16748,FAMJAG,q,0,S,0,MND,4,,
16749,FAMJEK,q,0,S,0,MND,4,,
16750,FAMKUZ,q,1,S,0,MND,6,,
16751,FAMMEL,q,0,S,0,MND,4,,
16752,FAMMEN,q,1,S,0,MND,4,,
16753,FAMMIP,q,0,S,0,MND,4,,
16754,FAMMIR,q,1,S,0,MND,4,,
16755,FAMNOZ,q,1,S,0,MND,4,,
16756,FAMPEP,q,1,S,0,MND,4,,
16757,FAMPMO,q,0,S,0,MND,7,,
16758,FAMPPD,q,0,S,0,MND,4,,
16759,FAMQOB,q,0,S,0,MND,6,,
16760,FAMQUH,q,0,S,0,MND,6,,
16761,FAMQUI,q,0,S,0,MND,4,,
16762,FAMRAP,q,0,S,0,MND,4,,
16763,FAMRET,q,0,S,0,MND,4,,
16764,FAMRIW,q,0,S,0,MND,4,,
16765,FAMROD,q,0,S,0,MND,8,,
16766,FAMRUJ,q,0,S,0,MND,4,,
16767,FAMSAQ,q,0,S,0,MND,4,,
16768,FAMSIY,q,0,S,0,MND,4,,
16769,FAMTUK,q,0,S,0,MND,6,,
16770,FAMVAS,q,0,S,0,MND,6,,
16771,FAMVEV,q,0,S,0,MND,3,,
16772,FAMVOH,q,0,S,0,MND,8,,
16773,FAMYID,q,0,S,0,MND,4,,
16774,FAMYOJ,q,0,S,0,MND,4,,
16775,FAMZEY,q,0,S,0,MND,4,,
16776,FANBAA,q,0,S,0,MND,4,,
16777,FANBUU,q,0,S,0,MND,4,,
16778,FANDUV,q,0,S,0,MND,6,,
16779,FANFAD,q,0,S,0,MND,6,,
16780,FANFEH,q,0,S,0,MND,6,,
16781,FANFUY,q,0,S,0,MND,4,,
16782,FANGAC,q,0,S,0,MND,6,,
16783,FANGOT,q,0,S,0,MND,4,,
16784,FANGUW,q,0,S,0,MND,6,,
16785,FANHUX,q,0,S,0,MND,4,,
16786,FANJAF,q,0,S,0,MND,7,,
16787,FANJAI,q,0,S,0,MND,4,,
16788,FANJEJ,q,0,S,0,MND,7,,
16789,FANJEM,q,0,S,0,MND,4,,
16790,FANJUA,q,1,S,0,MND,6,,
16791,FANKAH,q,-1,S,0,MND,6,,
16792,FANKIO,q,0,S,0,MND,9,,
16793,FANLAH,q,1,S,0,MND,4,,
16794,FANLIP,q,0,S,0,MND,5,,
16795,FANMAL,q,1,S,0,MND,5,,
16796,FANMEP,q,1,S,0,MND,5,,
16797,FANPEQ,q,0,S,0,MND,9,,
16798,FANQIV,q,0,S,0,MND,4,,
16799,FANQIX,q,0,S,0,MND,4,,
16800,FANQOB,q,0,S,0,MND,4,,
16801,FANQOD,q,0,S,0,MND,4,,
16802,FANQUI,q,0,S,0,MND,6,,
16803,FANRAQ,q,0,S,0,MND,3,,
16804,FANREU,q,0,S,0,MND,2,,
16805,FANSAO,q,-1,S,0,MND,6,,
16806,FANSAQ,q,0,S,0,MND,4,,
16807,FANSAR,q,0,S,0,MND,6,,
16808,FANSOC,q,0,S,0,MND,4,,
16809,FANSUI,q,0,S,0,MND,4,,
16810,FANSUL,q,0,S,0,MND,6,,
16811,FANTEV,q,0,S,0,MND,4,,
16812,FANTIZ,q,0,S,0,MND,4,,
16813,FANTOF,q,0,S,0,MND,6,,
16814,FANTUJ,q,0,S,0,MND,6,,
16815,FANVAR,q,0,S,0,MND,8,,
16816,FANVOI,q,-1,S,0,MND,4,,
16817,FANVUN,q,0,S,0,MND,4,,
16818,FANVUO,q,0,S,0,MND,4,,
16819,FANWAU,q,0,S,0,MND,6,,
16820,FANWAV,q,0,S,0,MND,4,,
16821,FANWEX,q,0,S,0,MND,4,,
16822,FANWEY,q,0,S,0,MND,4,,
16823,FANWEZ,q,0,S,0,MND,4,,
16824,FANWOJ,q,0,S,0,MND,5,,
16825,FANWUP,q,0,S,0,MND,5,,
16826,FANXAT,q,0,S,0,MND,6,,
16827,FANXAW,q,0,S,0,MND,5,,
16828,FANXEY,q,0,S,0,MND,4,,
16829,FANXEZ,q,0,S,0,MND,6,,
16830,FANXOK,q,0,S,0,MND,6,,
16831,FANXUP,q,-1,S,0,MND,6,,
16832,FANYAW,q,-1,S,0,MND,6,,
16833,FANYAX,q,0,S,0,MND,4,,
16834,FANYEA,q,-1,S,0,MND,6,,
16835,FANYIF,q,0,S,0,MND,4,,
16836,FANYOK,q,0,S,0,MND,4,,
16837,FANYUQ,q,0,S,0,MND,4,,
16838,FANYUR,q,0,S,0,MND,6,,
16839,FAPBIH,q,0,S,0,MND,4,,
16840,FAPBIK,q,0,S,0,MND,4,,
16841,FAPBUU,q,0,S,0,MND,8,,
16842,FAPBUV,q,0,S,0,MND,6,,
16843,FAPCAB,q,0,S,0,MND,9,,
16844,FAPCAC,q,0,S,0,MND,4,,
16845,FAPCIJ,q,0,S,0,MND,8,,
16846,FAPDIL,q,0,S,0,MND,4,,
16847,FAPDOR,q,0,S,0,MND,6,,
16848,FAPHEM,q,0,S,0,MND,7,,
16849,FAPHIQ,q,0,S,0,MND,7,,
16850,FAPKAI,q,0,S,0,MND,4,,
16851,FAPKAJ,q,0,S,0,MND,4,,
16852,FAPKIR,q,-1,S,0,MND,6,,
16853,FAPKOZ,q,0,S,0,MND,6,,
16854,FAPMEO,q,0,S,0,MND,9,,
16855,FAPMEQ,q,0,S,0,MND,4,,
16856,FAPMIU,q,0,S,0,MND,4,,
16857,FAPNIB,q,1,S,0,MND,6,,
16858,FAPNOB,q,1,S,0,MND,6,,
16859,FAPNUF,q,1,S,0,MND,6,,
16860,FAPPAP,q,1,S,0,MND,6,,
16861,FAPPUH,q,-1,S,0,MND,5,,
16862,FAPRIA,q,0,S,0,MND,4,,
16863,FAPROG,q,0,S,0,MND,4,,
16864,FAPRUL,q,0,S,0,MND,6,,
16865,FAPSAT,q,0,S,0,MND,6,,
16866,FAPSEV,q,1,S,0,MND,9,,
16867,FAPSIB,q,0,S,0,MND,5,,
16868,FAPSOF,q,0,S,0,MND,9,,
16869,FAPSUL,q,1,S,0,MND,9,,
16870,FAPTEW,q,0,S,0,MND,6,,
16871,FAPVAT,q,1,S,0,MND,6,,
16872,FAPVID,q,0,S,0,MND,6,,
16873,FAPVIE,q,0,S,0,MND,5,,
16874,FAPVOJ,q,0,S,0,MND,9,,
16875,FAPVOK,q,0,S,0,MND,5,,
16876,FAPVUP,q,0,S,0,MND,5,,
16877,FAPWAW,q,0,S,0,MND,5,,
16878,FAPWIC,q,0,S,0,MND,9,,
16879,FAPWOJ,q,0,S,0,MND,11,,
16880,FAPXAW,q,0,S,0,MND,11,,
16881,FAPXEA,q,0,S,0,MND,11,,
16882,FAPXUQ,q,0,S,0,MND,4,,
16883,FAPZAX,q,0,S,0,MND,12,,
16884,FAQBAD,q,0,S,0,MND,6,,
16885,FAQBEF,q,1,S,0,MND,2,,
16886,FAQBEH,q,0,S,0,MND,6,,
16887,FAQBOR,q,0,S,0,MND,6,,
16888,FAQDAC,q,0,S,0,MND,6,,
16889,FAQFOT,q,0,S,0,MND,6,,
16890,FAQHOX,q,0,S,0,MND,4,,
16891,FAQLUG,q,0,S,0,MND,6,,
16892,FAQMES,q,0,S,0,MND,6,,
16893,FAQMIW,q,0,S,0,MND,6,,
16894,FAQNUI,q,0,S,0,MND,7,,
16895,FAQPUK,q,1,S,0,MND,4,,
16896,FAQQEU,q,0,S,0,MND,4,,
16897,FAQQIY,q,1,S,0,MND,6,,
16898,FAQQOE,q,1,S,0,MND,6,,
16899,FAQQUK,q,0,S,0,MND,6,,
16900,FAQQUM,q,0,S,0,MND,4,,
16901,FAQRAT,q,1,S,0,MND,4,,
16902,FAQREX,q,0,S,0,MND,4,,
16903,FAQSEY,q,0,S,0,MND,5,,
16904,FAQSIC,q,0,S,0,MND,6,,
16905,FAQYOO,q,0,S,0,MND,5,,
16906,FAQYUS,q,0,S,0,MND,2,,
16907,FAQYUU,q,0,S,0,MND,5,,
16908,FAQZIH,q,0,S,0,MND,5,,
16909,FAQZON,q,0,S,0,MND,5,,
16910,FARBAC,q,0,S,0,MND,5,,
16911,FARBEG,q,0,S,0,MND,5,,
16912,FARBOR,q,1,S,0,MND,6,,
16913,FARCOS,q,0,S,0,MND,4,,
16914,FARDEJ,q,0,S,0,MND,6,,
16915,FARFAI,q,0,S,0,MND,8,,
16916,FARGEL,q,1,S,0,MND,8,,
16917,FARLOZ,q,0,S,0,MND,4,,
16918,FARNAN,q,0,S,0,MND,6,,
16919,FARQUN,q,0,S,0,MND,6,,
16920,FARRAU,q,0,S,0,MND,4,,
16921,FARREV,q,0,S,0,MND,6,,
16922,FARSIB,q,0,S,0,MND,4,,
16923,FARSOJ,q,0,S,0,MND,5,,
16924,FARTAW,q,0,S,0,MND,5,,
16925,FARTIE,q,0,S,0,MND,5,,
16926,FARWEC,q,-1,S,0,MND,6,,
16927,FARWIG,q,0,S,0,MND,6,,
16928,FARXAA,q,1,S,0,MND,6,,
16929,FARXIH,q,1,S,0,MND,4,,
16930,FARZED,q,0,S,0,MND,9,,
16931,FARZIK,q,0,S,0,MND,4,,
16932,FARZUV,q,0,S,0,MND,4,,
16933,FASBAE,q,0,S,0,MND,4,,
16934,FASBEG,q,0,S,0,MND,6,,
16935,FASBOQ,q,0,S,0,MND,4,,
16936,FASBOS,q,1,S,0,MND,6,,
16937,FASBUY,q,1,S,0,MND,6,,
16938,FASCAD,q,-1,S,0,MND,4,,
16939,FASCAF,q,1,S,0,MND,6,,
16940,FASCEJ,q,1,S,0,MND,6,,
16941,FASCIL,q,0,S,0,MND,4,,
16942,FASCIN,q,0,S,0,MND,6,,
16943,FASCUA,q,0,S,0,MND,4,,
16944,FASGOY,q,1,S,0,MND,8,,
16945,FASGUE,q,0,S,0,MND,8,,
16946,FASJUH,q,0,S,0,MND,6,,
16947,FASPAT,q,0,S,0,MND,4,,
16948,FASPIB,q,0,S,0,MND,4,,
16949,FASPUL,q,0,S,0,MND,4,,
16950,FASQIB,q,0,S,0,MND,5,,
16951,FASREX,q,0,S,0,MND,4,,
16952,FASRIC,q,0,S,0,MND,7,,
16953,FASRUN,q,1,S,0,MND,6,,
16954,FASSAU,q,0,S,0,MND,4,,
16955,FASSAW,q,1,S,0,MND,6,,
16956,FASSEY,q,0,S,0,MND,4,,
16957,FASSIC,q,0,S,0,MND,4,,
16958,FASVIF,q,1,S,0,MND,4,,
16959,FASXIH,q,0,S,0,MND,4,,
16960,FASXON,q,0,S,0,MND,4,,
16961,FASYOQ,q,0,S,0,MND,6,,
16962,FASZAC,q,0,S,0,MND,6,,
16963,FASZUU,q,0,S,0,MND,10,,
16964,FATBAD,q,0,S,0,MND,14,,
16965,FATCAE,q,0,S,0,MND,8,,
16966,FATCAG,q,0,S,0,MND,6,,
16967,FATCEJ,q,-1,S,0,MND,4,,
16968,FATCUA,q,0,S,0,MND,4,,
16969,FATFEM,q,0,S,0,MND,6,,
16970,FATFIQ,q,0,S,0,MND,6,,
16971,FATGIR,q,1,S,0,MND,4,,
16972,FATJIW,q,0,S,0,MND,4,,
16973,FATJOC,q,0,S,0,MND,4,,
16974,FATJUG,q,0,S,0,MND,4,,
16975,FATKAN,q,0,S,0,MND,4,,
16976,FATNOE,q,0,S,0,MND,6,,
16977,FATPIZ,q,0,S,0,MND,6,,
16978,FATQIB,q,0,S,0,MND,6,,
16979,FATTUR,q,0,S,0,MND,6,,
16980,FATVIH,q,0,S,0,MND,6,,
16981,FATVON,q,0,S,0,MND,6,,
16982,FATVUT,q,0,S,0,MND,6,,
16983,FATZIM,q,0,S,0,MND,8,,
16984,FATZOS,q,0,S,0,MND,8,,
16985,FATZUY,q,0,S,0,MND,8,,
16986,FAVBAI,q,0,S,0,MND,8,,
16987,FAVBIQ,q,0,S,0,MND,8,,
16988,FAVCEK,q,0,S,0,MND,4,,
16989,FAVCIR,q,0,S,0,MND,5,,
16990,FAVCOX,q,0,S,0,MND,4,,
16991,FAVCUD,q,1,S,0,MND,4,,
16992,FAVDAH,q,0,S,0,MND,6,,
16993,FAVFEN,q,0,S,0,MND,6,,
16994,FAVGIT,q,0,S,0,MND,4,,
16995,FAVGOZ,q,0,S,0,MND,4,,
16996,FAVGUE,q,0,S,0,MND,6,,
16997,FAVHOB,q,0,S,0,MND,5,,
16998,FAVHUF,q,0,S,0,MND,4,,
16999,FAVJUH,q,0,S,0,MND,6,,
17000,FAVLET,q,1,S,0,MND,7,,
17001,FAVNEV,q,0,S,0,MND,6,,
17002,FAVQAW,q,0,S,0,MND,4,,
17003,FAVSAY,q,0,S,0,MND,6,,
17004,FAVSEC,q,0,S,0,MND,6,,
17005,FAVSIH,q,0,S,0,MND,6,,
17006,FAVSOM,q,0,S,0,MND,6,,
17007,FAVSUS,q,0,S,0,MND,6,,
17008,FAVTAZ,q,0,S,0,MND,6,,
17009,FAVTOL,q,1,S,0,MND,5,,
17010,FAVTON,q,0,S,0,MND,6,,
17011,FAVTUR,q,0,S,0,MND,5,,
17012,FAVTUT,q,0,S,0,MND,6,,
17013,FAVWUV,q,0,S,0,MND,6,,
17014,FAVXAC,q,0,S,0,MND,6,,
17015,FAVXEG,q,0,S,0,MND,8,,
17016,FAVXOS,q,0,S,0,MND,6,,
17017,FAVXUV,q,0,S,0,MND,4,,
17018,FAVYAE,q,0,S,0,MND,6,,
17019,FAVYUW,q,0,S,0,MND,4,,
17020,FAVZIM,q,0,S,0,MND,4,,
17021,FAVZOS,q,0,S,0,MND,4,,
17022,FAVZUY,q,0,S,0,MND,4,,
17023,FAVZUZ,q,1,S,0,MND,4,,
17024,FAWDIQ,q,0,S,0,MND,12,,
17025,FAWDUC,q,0,S,0,MND,7,,
17026,FAWFIT,q,0,S,0,MND,6,,
17027,FAWFUF,q,0,S,0,MND,9,,
17028,FAWGOZ,q,0,S,0,MND,8,,
17029,FAWHAM,q,0,S,0,MND,5,,
17030,FAWHIV,q,0,S,0,MND,4,,
17031,FAWJOD,q,0,S,0,MND,4,,
17032,FAWJUJ,q,0,S,0,MND,4,,
17033,FAWLAR,q,0,S,0,MND,6,,
17034,FAWLIZ,q,1,S,0,MND,6,,
17035,FAWMOF,q,0,S,0,MND,10,,
17036,FAWNAT,q,0,S,0,MND,6,,
17037,FAWNIC,q,0,S,0,MND,4,,
17038,FAWNOI,q,0,S,0,MND,4,,
17039,FAWPIC,q,1,S,0,MND,7,,
17040,FAWQEZ,q,0,S,0,MND,6,,
17041,FAWQID,q,0,S,0,MND,6,,
17042,FAWQOJ,q,0,S,0,MND,6,,
17043,FAWQUP,q,0,S,0,MND,4,,
17044,FAWREC,q,0,S,0,MND,4,,
17045,FAWRIE,q,0,S,0,MND,9,,
17046,FAWSAX,q,0,S,0,MND,4,,
17047,FAWVAA,q,0,S,0,MND,4,,
17048,FAWVOQ,q,1,S,0,MND,3,,
17049,FAWXOQ,q,0,S,0,MND,9,,
17050,FAWXUZ,q,0,S,0,MND,4,,
17051,FAWYAG,q,0,S,0,MND,4,,
17052,FAWYEH,q,0,S,0,MND,4,,
17053,FAWYIM,q,0,S,0,MND,2,,
17054,FAWYOS,q,0,S,0,MND,2,,
17055,FAWYUY,q,0,S,0,MND,2,,
17056,FAWZAF,q,0,S,0,MND,2,,
17057,FAWZAH,q,0,S,0,MND,4,,
17058,FAWZEJ,q,0,S,0,MND,2,,
17059,FAWZIN,q,0,S,0,MND,2,,
17060,FAWZOS,q,0,S,0,MND,9,,
17061,FAWZOT,q,0,S,0,MND,2,,
17062,FAWZUY,q,0,S,0,MND,9,,
17063,FAWZUZ,q,0,S,0,MND,2,,
17064,FAXBAI,q,0,S,0,MND,2,,
17065,FAXBEL,q,0,S,0,MND,8,,
17066,FAXBEM,q,0,S,0,MND,2,,
17067,FAXBIQ,q,0,S,0,MND,2,,
17068,FAXBOW,q,0,S,0,MND,2,,
17069,FAXCAI,q,1,S,0,MND,2,,
17070,FAXCOW,q,0,S,0,MND,3,,
17071,FAXFIU,q,0,S,0,MND,4,,
17072,FAXGIX,q,0,S,0,MND,3,,
17073,FAXGOB,q,0,S,0,MND,9,,
17074,FAXGOD,q,0,S,0,MND,4,,
17075,FAXHAQ,q,0,S,0,MND,6,,
17076,FAXHER,q,1,S,0,MND,2,,
17077,FAXHES,q,0,S,0,MND,2,,
17078,FAXHUI,q,0,S,0,MND,6,,
17079,FAXJIX,q,0,S,0,MND,3,,
17080,FAXKEX,q,0,S,0,MND,7,,
17081,FAXKUL,q,0,S,0,MND,6,,
17082,FAXNIC,q,0,S,0,MND,3,,
17083,FAXPUQ,q,1,S,0,MND,6,,
17084,FAXPZN,q,1,S,0,MND,6,,
17085,FAXQON,q,0,S,0,MND,6,,
17086,FAXSEF,q,0,S,0,MND,7,,
17087,FAXSIJ,q,0,S,0,MND,6,,
17088,FAXXIL,q,0,S,0,MND,4,,
17089,FAXXUA,q,0,S,0,MND,2,,
17090,FAXYEI,q,0,S,0,MND,5,,
17091,FAXYIM,q,0,S,0,MND,5,,
17092,FAXYIP,q,0,S,0,MND,4,,
17093,FAXZEL,q,0,S,0,MND,4,,
17094,FAYBIS,q,1,S,0,MND,6,,
17095,FAYBOY,q,0,S,0,MND,6,,
17096,FAYCEP,q,0,S,0,MND,4,,
17097,FAYDEO,q,0,S,0,MND,4,,
17098,FAYFAM,q,1,S,0,MND,6,,
17099,FAYGAQ,q,1,S,0,MND,2,,
17100,FAYGIX,q,0,S,0,MND,9,,
17101,FAYGIY,q,0,S,0,MND,2,,
17102,FAYGOD,q,0,S,0,MND,9,,
17103,FAYGOE,q,0,S,0,MND,2,,
17104,FAYGUK,q,0,S,0,MND,2,,
17105,FAYHAR,q,0,S,0,MND,2,,
17106,FAYHUI,q,0,S,0,MND,4,,
17107,FAYJEU,q,0,S,0,MND,3,,
17108,FAYJUL,q,0,S,0,MND,6,,
17109,FAYKAS,q,0,S,0,MND,4,,
17110,FAYKEW,q,0,S,0,MND,4,,
17111,FAYKIA,q,0,S,0,MND,6,,
17112,FAYLAV,q,0,S,0,MND,4,,
17113,FAYLEX,q,1,S,0,MND,6,,
17114,FAYLOJ,q,0,S,0,MND,6,,
17115,FAYLUP,q,0,S,0,MND,6,,
17116,FAYMAW,q,0,S,0,MND,6,,
17117,FAYMEA,q,0,S,0,MND,6,,
17118,FAYMIC,q,0,S,0,MND,4,,
17119,FAYMOK,q,0,S,0,MND,6,,
17120,FAYMUQ,q,0,S,0,MND,6,,
17121,FAYNAX,q,0,S,0,MND,6,,
17122,FAYNEB,q,0,S,0,MND,4,,
17123,FAYQEB,q,1,S,0,MND,6,,
17124,FAYTOR,q,0,S,0,MND,4,,
17125,FAYVAF,q,0,S,0,MND,4,,
17126,FAYVEJ,q,0,S,0,MND,4,,
17127,FAYVIN,q,0,S,0,MND,4,,
17128,FAYVOT,q,0,S,0,MND,4,,
17129,FAYVUZ,q,0,S,0,MND,4,,
17130,FAYXAE,q,0,S,0,MND,6,,
17131,FAYYUA,q,0,S,0,MND,4,,
17132,FAZCUH,q,0,S,0,MND,5,,
17133,FAZDAL,q,0,S,0,MND,6,,
17134,FAZHIY,q,0,S,0,MND,4,,
17135,FAZMAU,q,0,S,0,MND,5,,
17136,FAZMEY,q,0,S,0,MND,5,,
17137,FAZMOI,q,0,S,0,MND,6,,
17138,FAZMUO,q,0,S,0,MND,7,,
17139,FAZPEE,q,0,S,0,MND,6,,
17140,FAZRUV,q,0,S,0,MND,4,,
17141,FAZSAC,q,0,S,0,MND,6,,
17142,FAZSII,q,0,S,0,MND,5,,
17143,FAZTEG,q,0,S,0,MND,6,,
17144,FAZTEH,q,0,S,0,MND,2,,
17145,FAZTIK,q,0,S,0,MND,6,,
17146,FAZVEJ,q,0,S,0,MND,8,,
17147,FAZVUZ,q,0,S,0,MND,6,,
17148,FAZWUA,q,0,S,0,MND,6,,
17149,FAZXIN,q,0,S,0,MND,6,,
17150,FBGLNI,q,0,S,0,MND,4,,
17151,FBUPTA,q,0,S,0,MND,4,,
17152,FBUPTB,q,0,S,0,MND,4,,
17153,FBYTMO,q,0,S,0,MND,9,,
17154,FCACPD,q,0,S,0,MND,4,,
17155,FEBGOJ,q,0,S,0,MND,5,,
17156,FEBGUP,q,0,S,0,MND,5,,
17157,FEBHAV,q,0,S,0,MND,4,,
17158,FEBHAW,q,0,S,0,MND,5,,
17159,FEBHEA,q,0,S,0,MND,5,,
17160,FEBHUQ,q,-1,S,0,MND,10,,
17161,FEBJAX,q,0,S,0,MND,8,,
17162,FEBLII,q,0,S,0,MND,6,,
17163,FEBMUW,q,0,S,0,MND,8,,
17164,FEBNEH,q,0,S,0,MND,8,,
17165,FEBPIM,q,0,S,0,MND,6,,
17166,FEBQAF,q,0,S,0,MND,6,,
17167,FEBRAH,q,0,S,0,MND,9,,
17168,FEBRUZ,q,0,S,0,MND,4,,
17169,FEBSOU,q,0,S,0,MND,4,,
17170,FEBSUA,q,0,S,0,MND,4,,
17171,FEBTAH,q,0,S,0,MND,4,,
17172,FEBVOX,q,0,S,0,MND,4,,
17173,FEBVUD,q,0,S,0,MND,4,,
17174,FEBWAK,q,0,S,0,MND,4,,
17175,FEBWAL,q,0,S,0,MND,6,,
17176,FEBXAL,q,1,S,0,MND,6,,
17177,FEBYIX,q,0,S,0,MND,5,,
17178,FECBEU,q,0,S,0,MND,7,,
17179,FECBOH,q,0,S,0,MND,5,,
17180,FECBUL,q,1,S,0,MND,6,,
17181,FECCAU,q,0,S,0,MND,5,,
17182,FECCIC,q,0,S,0,MND,6,,
17183,FECDEW,q,0,S,0,MND,9,,
17184,FECFUO,q,0,S,0,MND,6,,
17185,FECFUP,q,0,S,0,MND,13,,
17186,FECGAW,q,0,S,0,MND,13,,
17187,FECGOK,q,1,S,0,MND,13,,
17188,FECHAW,q,0,S,0,MND,4,,
17189,FECKAZ,q,0,S,0,MND,9,,
17190,FECKEF,q,0,S,0,MND,4,,
17191,FECKIJ,q,0,S,0,MND,4,,
17192,FECLEF,q,1,S,0,MND,6,,
17193,FECLIJ,q,1,S,0,MND,6,,
17194,FECLOO,q,0,S,0,MND,9,,
17195,FECNIL,q,1,S,0,MND,9,,
17196,FECNOQ,q,0,S,0,MND,8,,
17197,FECNOR,q,1,S,0,MND,9,,
17198,FECPCC,q,0,S,0,MND,6,,
17199,FECPOT,q,1,S,0,MND,8,,
17200,FECQAG,q,1,S,0,MND,8,,
17201,FECSUC,q,0,S,0,MND,7,,
17202,FECTEP,q,0,S,0,MND,6,,
17203,FECTIT,q,0,S,0,MND,6,,
17204,FECTUF,q,0,S,0,MND,6,,
17205,FECVAN,q,0,S,0,MND,6,,
17206,FECVER,q,0,S,0,MND,6,,
17207,FECWOA,q,0,S,0,MND,4,,
17208,FECWOC,q,0,S,0,MND,4,,
17209,FECWUI,q,0,S,0,MND,4,,
17210,FECYEU,q,0,S,0,MND,6,,
17211,FECYOE,q,0,S,0,MND,6,,
17212,FECYUK,q,0,S,0,MND,6,,
17213,FECZFE,q,0,S,0,MND,7,,
17214,FEDCOJ,q,0,S,0,MND,8,,
17215,FEDCUP,q,0,S,0,MND,8,,
17216,FEDDAT,q,1,S,0,MND,9,,
17217,FEDDAV,q,1,S,0,MND,6,,
17218,FEDDEA,q,0,S,0,MND,4,,
17219,FEDDEZ,q,1,S,0,MND,6,,
17220,FEDGUR,q,0,S,0,MND,6,,
17221,FEDJAA,q,0,S,0,MND,4,,
17222,FEDLEF,q,0,S,0,MND,4,,
17223,FEDLIJ,q,0,S,0,MND,2,,
17224,FEDPOW,q,0,S,0,MND,4,,
17225,FEDPUC,q,0,S,0,MND,4,,
17226,FEDQIR,q,0,S,0,MND,4,,
17227,FEDQUD,q,1,S,0,MND,8,,
17228,FEDRAK,q,1,S,0,MND,8,,
17229,FEDREO,q,1,S,0,MND,8,,
17230,FEDSUC,q,0,S,0,MND,11,,
17231,FEDTUF,q,0,S,0,MND,4,,
17232,FEDXER,q,0,S,0,MND,9,,
17233,FEDXIX,q,0,S,0,MND,4,,
17234,FEDYUI,q,0,S,0,MND,6,,
17235,FEFCAU,q,0,S,0,MND,4,,
17236,FEFCIE,q,1,S,0,MND,6,,
17237,FEFCOK,q,0,S,0,MND,6,,
17238,FEFDUP,q,0,S,0,MND,6,,
17239,FEFFAX,q,0,S,0,MND,6,,
17240,FEFGUT,q,0,S,0,MND,9,,
17241,FEFRUG,q,0,S,0,MND,6,,
17242,FEFTEP,q,0,S,0,MND,4,,
17243,FEFTUF,q,0,S,0,MND,4,,
17244,FEFTUH,q,0,S,0,MND,4,,
17245,FEFVAN,q,0,S,0,MND,4,,
17246,FEFWAO,q,1,S,0,MND,6,,
17247,FEFWEU,q,0,S,0,MND,4,,
17248,FEFWIY,q,0,S,0,MND,6,,
17249,FEFWUK,q,1,S,0,MND,6,,
17250,FEFYAQ,q,0,S,0,MND,9,,
17251,FEFYEU,q,0,S,0,MND,9,,
17252,FEFYUL,q,0,S,0,MND,9,,
17253,FEFZEY,q,0,S,0,MND,7,,
17254,FEFZIA,q,0,S,0,MND,6,,
17255,FEFZOG,q,0,S,0,MND,6,,
17256,FEFZUM,q,0,S,0,MND,6,,
17257,FEGBEA,q,0,S,0,MND,4,,
17258,FEGBOK,q,1,S,0,MND,2,,
17259,FEGCAY,q,0,S,0,MND,4,,
17260,FEGCEB,q,0,S,0,MND,3,,
17261,FEGCID,q,0,S,0,MND,6,,
17262,FEGCOL,q,0,S,0,MND,9,,
17263,FEGFOM,q,0,S,0,MND,9,,
17264,FEGGAB,q,0,S,0,MND,6,,
17265,FEGGEF,q,0,S,0,MND,6,,
17266,FEGGOO,q,0,S,0,MND,4,,
17267,FEGGUU,q,0,S,0,MND,4,,
17268,FEGHAB,q,0,S,0,MND,4,,
17269,FEGHEF,q,0,S,0,MND,4,,
17270,FEGHOP,q,0,S,0,MND,5,,
